Company Name,Industry,Company Size,Revenue Range,Lifecycle Stage,Application Status
Permian Basin Oilfield,Oilfield Services,501-1000,$100M - $200M,SQL,
Roadmaster Logistics,Transportation/Logistics,11-50,$2M - $6M,Lead,
Cascade Metal Industries,Manufacturing,51-200,$8M - $20M,Lead,
Workforce Dynamics Inc,Staffing,11-50,$1.5M - $4M,MQL,
Liberty Builders LLC,Construction,2-10,$800K - $2M,Lead,
Valley Trade Partners,Wholesale/Distribution,2-10,$500K - $1.5M,Lead,
Eagle Rock Drilling,Oilfield Services,11-50,$4M - $10M,Lead,
Swift Cargo Solutions,Transportation/Logistics,201-500,$30M - $65M,Opportunity,Approved
Premier Plastics Corp,Manufacturing,201-500,$25M - $55M,MQL,
Agile Staffing Group,Staffing,201-500,$15M - $35M,SQL,
Horizon Construction Services,Construction,51-200,$10M - $25M,Lead,
Keystone Wholesale Inc,Wholesale/Distribution,51-200,$12M - $30M,MQL,
Maverick Well Solutions,Oilfield Services,2-10,$1M - $3M,Lead,
Transcon Shipping LLC,Transportation/Logistics,51-200,$10M - $22M,Lead,
Alloy Precision Manufacturing,Manufacturing,11-50,$3M - $8M,Lead,
Select Personnel Services,Staffing,11-50,$2M - $5M,MQL,
Patriot Contractors Inc,Construction,201-500,$35M - $75M,SQL,
Regional Supply Network,Wholesale/Distribution,11-50,$4M - $9M,Lead,
Frontier Oil & Gas Services,Oilfield Services,51-200,$18M - $40M,MQL,
Nationwide Freight Co,Transportation/Logistics,501-1000,$80M - $160M,Opportunity,Approved
Benchmark Tool & Die,Manufacturing,2-10,$800K - $2M,Lead,
NextGen Workforce Solutions,Staffing,51-200,$7M - $18M,SQL,
Solid Rock Construction,Construction,11-50,$3M - $8M,Lead,
Commerce Distribution Group,Wholesale/Distribution,201-500,$30M - $65M,MQL,
Panhandle Energy Services,Oilfield Services,201-500,$40M - $85M,Opportunity,Rejected
Prime Movers Transport,Transportation/Logistics,11-50,$2.5M - $6M,Lead,
Westside Machine Shop,Manufacturing,2-10,$600K - $1.5M,Lead,
Career Connect Staffing,Staffing,2-10,$400K - $1.2M,Lead,
Urban Development Partners,Construction,501-1000,$90M - $180M,SQL,
Harbor Wholesale Trading,Wholesale/Distribution,51-200,$8M - $20M,MQL,
Deepwell Oilfield LLC,Oilfield Services,11-50,$3M - $8M,Lead,
Interstate Carriers Corp,Transportation/Logistics,201-500,$28M - $60M,MQL,
Global Parts Manufacturing,Manufacturing,501-1000,$100M - $200M,Opportunity,Approved
Workforce One Staffing,Staffing,11-50,$1.8M - $4.5M,Lead,
Blueridge Builders Inc,Construction,51-200,$8M - $20M,MQL,
Direct Line Distributors,Wholesale/Distribution,11-50,$2.5M - $6M,Lead,
Sunbelt Drilling Services,Oilfield Services,51-200,$12M - $28M,SQL,
Freight Force America,Transportation/Logistics,51-200,$9M - $22M,Lead,
Custom Machining Solutions,Manufacturing,11-50,$2M - $5M,Lead,
TempWorks Staffing Agency,Staffing,51-200,$5M - $12M,MQL,
Cascade Construction Group,Construction,201-500,$32M - $70M,Lead,
Advantage Supply Co,Wholesale/Distribution,51-200,$10M - $24M,MQL,
Blackgold Well Services,Oilfield Services,201-500,$35M - $75M,Opportunity,Rejected
CrossCountry Logistics,Transportation/Logistics,11-50,$3.5M - $8M,Lead,
Pinnacle Metal Products,Manufacturing,51-200,$10M - $25M,MQL,
Staff Solutions Plus,Staffing,2-10,$350K - $900K,Lead,
Foundation Contractors LLC,Construction,11-50,$2.5M - $7M,Lead,
Consolidated Wholesale Inc,Wholesale/Distribution,1000+,$180M - $400M,SQL,
Horizon Oilfield Corp,Oilfield Services,51-200,$14M - $32M,MQL,
Legacy Transport Services,Transportation/Logistics,201-500,$25M - $55M,SQL,
Tech Components Manufacturing,Manufacturing,51-200,$12M - $28M,Lead,
Workforce Express Inc,Staffing,11-50,$1.2M - $3M,Lead,
Summit View Constructors,Construction,51-200,$9M - $22M,MQL,
Allied Distribution Services,Wholesale/Distribution,51-200,$11M - $26M,Lead,
Redrock Energy Services,Oilfield Services,11-50,$4.5M - $11M,Lead,
Reliable Road Freight,Transportation/Logistics,2-10,$700K - $1.8M,Lead,
Artisan Manufacturing Co,Manufacturing,11-50,$2.5M - $6M,MQL,
PeopleFirst Staffing,Staffing,51-200,$6M - $14M,SQL,
Capital City Contractors,Construction,201-500,$28M - $60M,Lead,
National Wholesale Group,Wholesale/Distribution,201-500,$38M - $80M,MQL,
Thunder Basin Oil Services,Oilfield Services,501-1000,$85M - $170M,Opportunity,Approved
Truckload Express Inc,Transportation/Logistics,51-200,$11M - $25M,Lead,
Midwest Precision Industries,Manufacturing,201-500,$28M - $58M,MQL,
Unified Staffing Solutions,Staffing,201-500,$12M - $28M,Lead,
Premier Commercial Builders,Construction,1000+,$200M - $450M,SQL,
